dataset,tier,variant,type,enroll,verify
cplfw,select,hard_bpsk,FalseReject,Anders_Fogh_Rasmussen_1_0000,Anders_Fogh_Rasmussen_2_0000
cplfw,select,hard_bpsk,FalseReject,Brad_Johnson_1_0000,Brad_Johnson_2_0000
cplfw,select,hard_bpsk,FalseReject,Candice_Bergen_2_0000,Candice_Bergen_3_0000
cplfw,select,hard_bpsk,FalseReject,Prince_Philippe_1_0000,Prince_Philippe_2_0000
cplfw,select,hard_bpsk,FalseReject,Erika_Christensen_2_0000,Erika_Christensen_3_0000
cplfw,select,hard_bpsk,FalseReject,Tyra_Banks_2_0000,Tyra_Banks_3_0000
cplfw,select,hard_bpsk,FalseReject,Tim_Blake_Nelson_1_0000,Tim_Blake_Nelson_2_0000
cplfw,select,hard_bpsk,FalseReject,Sigourney_Weaver_1_0000,Sigourney_Weaver_2_0000
cplfw,select,hard_bpsk,FalseReject,Simon_Yam_2_0000,Simon_Yam_3_0000
cplfw,select,hard_bpsk,FalseReject,Billy_Bob_Thornton_2_0000,Billy_Bob_Thornton_3_0000
cplfw,select,hard_bpsk,FalseReject,Rick_Perry_1_0000,Rick_Perry_3_0000
cplfw,select,hard_bpsk,FalseReject,Nina_Jacobson_1_0000,Nina_Jacobson_3_0000
cplfw,select,hard_bpsk,FalseReject,Prince_Rainier_III_1_0000,Prince_Rainier_III_2_0000
cplfw,select,hard_bpsk,FalseReject,Maria_Callas_1_0000,Maria_Callas_2_0000
cplfw,select,hard_bpsk,FalseReject,Alfonso_Cuaron_1_0000,Alfonso_Cuaron_3_0000
cplfw,select,hard_bpsk,FalseReject,Tom_Glavine_2_0000,Tom_Glavine_3_0000
cplfw,select,hard_bpsk,FalseReject,Sterling_Hitchcock_1_0000,Sterling_Hitchcock_3_0000
cplfw,select,hard_bpsk,FalseReject,Martina_Hingis_1_0000,Martina_Hingis_3_0000
cplfw,select,hard_bpsk,FalseReject,Pascal_Affi_Nguessan_1_0000,Pascal_Affi_Nguessan_3_0000
cplfw,select,hard_bpsk,FalseReject,Jerry_Tarkanian_1_0000,Jerry_Tarkanian_2_0000
cplfw,select,hard_bpsk,FalseReject,Jerry_Tarkanian_1_0000,Jerry_Tarkanian_3_0000
cplfw,select,hard_bpsk,FalseReject,Benjamin_Netanyahu_1_0000,Benjamin_Netanyahu_3_0000
cplfw,select,hard_bpsk,FalseReject,Sergio_Garcia_1_0000,Sergio_Garcia_2_0000
cplfw,select,hard_bpsk,FalseReject,Dimitar_Berbatov_1_0000,Dimitar_Berbatov_2_0000
cplfw,select,hard_bpsk,FalseReject,Matthew_Broderick_1_0000,Matthew_Broderick_2_0000
cplfw,select,hard_bpsk,FalseReject,Tom_Glavine_1_0000,Tom_Glavine_2_0000
cplfw,select,hard_bpsk,FalseReject,Lindsey_Graham_1_0000,Lindsey_Graham_2_0000
cplfw,select,hard_bpsk,FalseReject,Gary_Williams_1_0000,Gary_Williams_2_0000
cplfw,select,hard_bpsk,FalseReject,Jimmy_Carter_1_0000,Jimmy_Carter_3_0000
cplfw,select,hard_bpsk,FalseReject,Nina_Jacobson_1_0000,Nina_Jacobson_2_0000
cplfw,select,hard_bpsk,FalseReject,Lindsey_Graham_2_0000,Lindsey_Graham_3_0000
cplfw,select,hard_bpsk,FalseReject,Woody_Allen_2_0000,Woody_Allen_3_0000
cplfw,select,hard_bpsk,FalseReject,Nong_Duc_Manh_1_0000,Nong_Duc_Manh_3_0000
cplfw,select,hard_bpsk,FalseReject,Bode_Miller_1_0000,Bode_Miller_3_0000
cplfw,select,hard_bpsk,FalseReject,Hugo_Conte_1_0000,Hugo_Conte_3_0000
cplfw,select,hard_bpsk,FalseReject,Peter_Bacanovic_1_0000,Peter_Bacanovic_2_0000
cplfw,select,hard_bpsk,FalseReject,Jelena_Dokic_1_0000,Jelena_Dokic_3_0000
cplfw,select,hard_bpsk,FalseReject,Theresa_May_2_0000,Theresa_May_3_0000
cplfw,select,hard_bpsk,FalseReject,Dany_Heatley_1_0000,Dany_Heatley_3_0000
cplfw,select,hard_bpsk,FalseReject,Ed_Sullivan_1_0000,Ed_Sullivan_2_0000
cplfw,select,hard_bpsk,FalseReject,Patricia_Wartusch_1_0000,Patricia_Wartusch_3_0000
cplfw,select,hard_bpsk,FalseReject,Melissa_Joan_Hart_2_0000,Melissa_Joan_Hart_3_0000
